ident;nazwisko;imie;data_urodzenia;klasa;kod jêzyków
1138;Bobacka;Leona;2009-10-21;IA;100
1657;Cebacka;Tyburcja;2009-10-22;IA;100
1012;Dmbacka;Honoryna;2009-06-24;IA;100
1143;Dobacki;Dezyderiusz;2009-08-15;IA;101
1484;Enbacki;Rufus;2009-10-05;IA;100
1179;Fabacka;Sylwana;2009-08-15;IA;100
1004;Fobacka;Marianna;2009-05-04;IA;100
1046;Glbacka;Domna;2009-02-27;IA;100
1630;Hrbacki;Juwenalis;2009-02-26;IA;101
1002;Htbacki;Maksymilian;2009-06-12;IA;101
1511;Kabacki;Flawiusz;2009-07-31;IA;100
1658;Kdbacka;Leontyna;2009-10-31;IA;100
1010;Kebacka;Herenia;2009-11-17;IA;100
1490;Khbacka;Justyna;2009-09-08;IA;100
1009;Ktbacki;Waleriusz;2009-10-09;IA;100
1385;Lnbacki;Cecylian;2009-11-04;IA;100
1548;Mbbacka;Tuskana;2009-05-09;IA;100
1211;Njbacka;Seweryna;2009-10-31;IA;100
1746;Nwbacka;Klemencja;2009-07-20;IA;100
1184;Opbacki;Konstancjusz;2009-02-03;IA;100
1459;Orbacka;Julia;2009-12-19;IA;100
1499;Pbbacka;Scholastyka;2009-08-08;IA;100
1321;Pebacka;Sydonia;2009-04-06;IA;100
1463;Rpbacka;Kandyda;2009-04-02;IA;100
1238;Rtbacka;Beata;2009-09-11;IA;100
1730;Sebacka;Innocencja;2009-01-03;IA;101
1627;Srbacki;Gawe³;2009-02-21;IA;100
1151;Tcbacki;Floryn;2009-12-15;IA;101
1509;Thbacki;Laurentyn;2009-10-20;IA;100
1622;Wobacki;Tarcyzjusz;2009-02-25;IA;100
1623;Aobacka;Klarysa;2009-08-11;IB;010
1169;Bdbacki;Sewer;2009-10-05;IB;010
1579;Ccbacki;Turybiusz;2009-10-21;IB;010
1506;Cfbacka;Sewera;2009-10-01;IB;010
1260;Chbacka;Kwieta;2009-01-06;IB;011
1697;Cwbacki;Hortensjusz;2009-05-13;IB;011
1792;Gcbacka;Dalia;2009-03-22;IB;010
1371;Hdbacki;Auksencjusz;2009-11-06;IB;010
1157;Ksbacka;Leonia;2009-02-16;IB;010
1354;Ktbacka;Zyta;2009-09-01;IB;010
1218;Kwbacka;Floryna;2009-09-19;IB;010
1038;Lbbacki;Remus;2009-11-04;IB;011
1146;Llbacka;Zyta;2009-11-15;IB;010
1208;Mcbacka;Benigna;2009-03-01;IB;010
1347;Mtbacki;Hadrian;2009-06-04;IB;010
1271;Nabacki;Serwacy;2009-09-05;IB;010
1225;Npbacki;Modest;2009-12-11;IB;010
1043;Oabacka;Gaja;2009-01-12;IB;010
1190;Pebacki;Kasjusz;2009-01-03;IB;010
1170;Pfbacka;Honoryna;2009-06-20;IB;010
1585;Rnbacka;Gordiana;2009-06-05;IB;010
1625;Robacki;Remigiusz;2009-08-19;IB;010
1265;Sbbacki;Mamertyn;2009-07-24;IB;010
1491;Spbacka;Nazaria;2009-08-15;IB;010
1635;Tbbacki;Kancjan;2009-04-19;IB;010
1769;Tebacka;Kasjana;2009-08-15;IB;010
1532;Ttbacka;Druzjanna;2009-12-05;IB;011
1049;Ujbacki;Druzjan;2009-10-06;IB;010
1524;Ukbacka;Lukrecja;2009-07-10;IB;010
1561;Usbacka;Diana;2009-08-25;IB;010
1567;Albacki;Floryn;2009-03-31;IC;100
1217;Asbacka;Wirginia;2009-07-31;IC;100
1541;Awbacki;Fidelis;2009-04-20;IC;100
1458;Bfbacki;Tercjusz;2009-09-16;IC;100
1297;Bobacki;Augustyn;2009-08-29;IC;100
1270;Cjbacki;Cecylian;2009-04-25;IC;100
1414;Dcbacki;Justyn;2009-09-12;IC;100
