uzytkownik_id;imie;nazwisko;rola
1;Sylwia;Stanczyk;kupujacy
2;Iwona;Chmielewska;kupujacy
3;Martyna;Stankiewicz;kupujacy
4;Kamil;Sadowski;kupujacy
5;Marek;Baran;kupujacy
6;Anna;Ledwon;kupujacy
7;Tomasz;Mazur;kupujacy
8;Adrian;Stepien;kupujacy
9;Daniel;Czarnecki;kupujacy
10;Artur;Mikulski;kupujacy
11;Maria;Wisniewska;kupujacy
12;Kinga;Urban;kupujacy
13;Anna;Kwiatkowska;sprzedawca
14;Daniel;Lis;kupujacy
15;Joanna;Zielinska;kupujacy
16;Monika;Krolik;kupujacy
17;Robert;Kramer;kupujacy
18;Kamil;Starszy;kupujacy
19;Olga;Lewandowska;kupujacy
20;Wojciech;Wryski;kupujacy
21;Magdalena;Piotrowska;kupujacy
22;Natalia;Gorska;kupujacy
23;Magda;Gajewska;kupujacy
24;Maciej;Sobor;sprzedawca
25;Tadeusz;Gadzinowski;kupujacy
26;Przemyslaw;Sikorski;kupujacy
27;Dawid;Nowak;kupujacy
28;Barbara;Kubiak;kupujacy
29;Szymon;Murek;kupujacy
30;Tomasz;Kot;kupujacy
31;Anna;Kowalska;kupujacy
32;Jakub;Wojtan;kupujacy
33;Maciej;Bak;kupujacy
34;Sylwia;Sikoreczka;kupujacy
35;Joanna;Krawczyk;kupujacy
36;Michal;Jelen;kupujacy
37;Kinga;Krol;kupujacy
38;Paulina;Majewska;kupujacy
39;Krzysztof;Jablonski;kupujacy
40;Mariusz;Stopian;kupujacy
41;Patrycja;Turczynska;kupujacy
42;Joanna;Olofan;kupujacy
43;Katarzyna;Sikorska;kupujacy
44;Agnieszka;Zawadzka;kupujacy
45;Beata;Olszewska;kupujacy
46;Marcin;Gil;kupujacy
47;Magda;Mahon;kupujacy
48;Monika;Kozlowska;kupujacy
49;Jan;Nowacki;kupujacy
50;Artur;Tomczak;kupujacy
51;Pawel;Malinowski;kupujacy
52;Barbara;Sobczak;kupujacy
53;Dawid;Piotrowski;kupujacy
54;Katarzyna;Kaminska;kupujacy
55;Marek;Piotrowski;kupujacy
56;Grzegorz;Kurhan;kupujacy
57;Ewelina;Marciniak;kupujacy
58;Grzegorz;Wroblewski;kupujacy
59;Piotr;Zielinski;kupujacy
60;Wojciech;Wielki;kupujacy
61;Iwona;Makowska;kupujacy
62;Radoslaw;Duda;kupujacy
63;Michal;Urbanowicz;kupujacy
64;Renata;Morawiecka;kupujacy
65;Dominika;Sikora;kupujacy
66;Pawel;Mikun;sprzedawca
67;Ewa;Dabrowska;kupujacy
68;Patrycja;Kos;kupujacy
69;Sebastian;Majewski;kupujacy
70;Lukasz;Pawlak;kupujacy
71;Renata;Nowakowska;kupujacy
72;Rafal;Michalski;kupujacy
73;Karolina;Baran;kupujacy
74;Olga;Kwiatek;kupujacy
75;Robert;Wilmowski;kupujacy
76;Karolina;Mazurek;kupujacy
77;Agnieszka;Kaczmarek;kupujacy
78;Lukasz;Zawadzki;kupujacy
79;Krzysztof;Gorski;kupujacy
80;Jakub;Rutkowski;kupujacy
81;Natalia;Jaworska;kupujacy
82;Ewelina;Czerwinska;sprzedawca
83;Agnieszka;Wilk;sprzedawca
84;Ewa;Szymanska;kupujacy
85;Przemyslaw;Gajewski;kupujacy
86;Marek;Kaminski;kupujacy
87;Mateusz;Sawicki;kupujacy
88;Joanna;Dabrowolska;kupujacy
89;Paulina;Tomczyk;kupujacy
90;Daniel;Samson;kupujacy
91;Justyna;Nowicka;kupujacy
92;Alicja;Czarnecka;kupujacy
93;Mateusz;Lewandowski;kupujacy
94;Agnieszka;Wojcik;kupujacy
95;Tadeusz;Kurczarek;kupujacy
96;Szymon;Kojot;kupujacy
97;Emilia;Wlodarczyk;kupujacy
98;Patrycja;Zielona;kupujacy
99;Pawel;Krajewski;kupujacy
100;Mariusz;Grabowski;kupujacy
